Date;Time;Pst1;Pst2;Pst3 
3/07/2008;09:15:00;0,44;0,293;0,293
3/07/2008;09:25:00;1,096;1,197;1,23
3/07/2008;09:35:00;0,426;0,372;0,362
3/07/2008;09:45:00;1,502;1,485;1,422
3/07/2008;09:55:00;0,492;0,468;0,453
3/07/2008;10:05:00;0,396;0,333;0,339
3/07/2008;10:15:00;0,575;0,558;0,557
3/07/2008;10:25:00;0,396;0,395;0,315
3/07/2008;10:35:00;0,447;0,391;0,358
3/07/2008;10:45:00;0,552;0,468;0,517
3/07/2008;10:55:00;0,53;0,462;0,521
3/07/2008;11:05:00;0,456;0,401;0,412
3/07/2008;11:15:00;0,403;0,351;0,35
3/07/2008;11:25:00;1,147;1,052;1,164
3/07/2008;11:35:00;0,604;0,465;0,457
3/07/2008;11:45:00;0,444;0,422;0,386
3/07/2008;11:55:00;0,496;0,495;0,497
3/07/2008;12:05:00;0,445;0,437;0,433
3/07/2008;12:15:00;0,396;0,343;0,365
3/07/2008;12:25:00;0,407;0,345;0,356
3/07/2008;12:35:00;0,457;0,407;0,364
3/07/2008;12:45:00;0,646;0,404;0,418
3/07/2008;12:55:00;0,481;0,473;0,456
3/07/2008;13:05:00;0,4;0,41;0,399
3/07/2008;13:15:00;0,692;0,481;0,584
3/07/2008;13:25:00;0,439;0,4;0,397
3/07/2008;13:35:00;0,448;0,393;0,4
3/07/2008;13:45:00;0,352;0,339;0,314
3/07/2008;13:55:00;0,5;0,393;0,435
3/07/2008;14:05:00;0,494;0,453;0,428
3/07/2008;14:15:00;0,515;0,488;0,569
3/07/2008;14:25:00;0,527;0,554;0,534
3/07/2008;14:35:00;0,319;0,345;0,298
3/07/2008;14:45:00;0,362;0,34;0,345
3/07/2008;14:55:00;0,3;0,268;0,291
3/07/2008;15:05:00;0,397;0,414;0,354
3/07/2008;15:15:00;0,385;0,392;0,387
3/07/2008;15:25:00;0,444;0,463;0,401
3/07/2008;15:35:00;0,568;0,522;0,529
3/07/2008;15:45:00;0,406;0,372;0,339
3/07/2008;15:55:00;0,435;0,361;0,395
3/07/2008;16:05:00;0,407;0,427;0,658
3/07/2008;16:15:00;0,453;0,455;0,463
3/07/2008;16:25:00;0,502;0,509;0,53
3/07/2008;16:35:00;0,486;0,44;0,44
3/07/2008;16:45:00;0,577;0,575;0,545
3/07/2008;16:55:00;0,526;0,483;0,486
3/07/2008;17:05:00;0,311;0,332;0,344
3/07/2008;17:15:00;0,366;0,361;0,333
3/07/2008;17:25:00;0,61;0,3;0,348
3/07/2008;17:35:00;0,403;0,313;0,295
3/07/2008;17:45:00;0,552;0,46;0,459
3/07/2008;17:55:00;0,509;0,473;0,41
3/07/2008;18:05:00;0,434;0,431;0,432
3/07/2008;18:15:00;0,325;0,299;0,365
3/07/2008;18:25:00;0,202;0,167;0,17
3/07/2008;18:35:00;0,544;3,103;4,028
3/07/2008;18:45:00;0,259;0,25;0,249
3/07/2008;18:55:00;0,219;0,207;0,21
3/07/2008;19:05:00;0,19;0,166;0,165
3/07/2008;19:15:00;0,322;0,299;0,206
3/07/2008;19:25:00;0,19;0,168;0,173
3/07/2008;19:35:00;0,202;0,159;0,176
3/07/2008;19:45:00;0,268;0,239;0,251
