"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-02"	"14:55:00"	0,264	0,226	0,259	
"2008-07-02"	"15:05:00"	0,245	0,212	0,223	
"2008-07-02"	"15:15:00"	0,277	0,22	0,223	
"2008-07-02"	"15:25:00"	0,185	0,179	0,188	
"2008-07-02"	"15:35:00"	0,189	0,185	0,202	
"2008-07-02"	"15:45:00"	0,244	0,245	0,268	
"2008-07-02"	"15:55:00"	0,283	0,229	0,245	
"2008-07-02"	"16:05:00"	0,247	0,204	0,211	
"2008-07-02"	"16:15:00"	0,221	0,211	0,216	
"2008-07-02"	"16:25:00"	0,21	0,203	0,195	
"2008-07-02"	"16:35:00"	0,226	0,282	0,223	
"2008-07-02"	"16:45:00"	0,2	0,193	0,196	
"2008-07-02"	"16:55:00"	0,233	0,185	0,216	
"2008-07-02"	"17:05:00"	0,223	0,197	0,2	
"2008-07-02"	"17:15:00"	0,187	0,191	0,181	
"2008-07-02"	"17:25:00"	0,202	0,184	0,201	
"2008-07-02"	"17:35:00"	0,251	0,244	0,239	
"2008-07-02"	"17:45:00"	0,213	0,211	0,236	
"2008-07-02"	"17:55:00"	0,226	0,216	0,221	
"2008-07-02"	"18:05:00"	0,224	0,216	0,21	
"2008-07-02"	"18:15:00"	0,2	0,202	0,195	
"2008-07-02"	"18:25:00"	0,184	0,175	0,188	
"2008-07-02"	"18:35:00"	0,17	0,166	0,154	
"2008-07-02"	"18:45:00"	0,234	0,24	0,226	
"2008-07-02"	"18:55:00"	0,228	0,227	0,234	
"2008-07-02"	"19:05:00"	0,234	0,248	0,315	
"2008-07-02"	"19:15:00"	0,182	0,172	0,175	
"2008-07-02"	"19:25:00"	0,199	0,191	0,191	
"2008-07-02"	"19:35:00"	0,196	0,202	0,178	
"2008-07-02"	"19:45:00"	0,183	0,18	0,172	
"2008-07-02"	"19:55:00"	0,27	0,276	0,245	
"2008-07-02"	"20:05:00"	0,189	0,196	0,18	
"2008-07-02"	"20:15:00"	0,273	0,276	0,262	
"2008-07-02"	"20:25:00"	0,186	0,185	0,179	
"2008-07-02"	"20:35:00"	0,261	0,254	0,232	
"2008-07-02"	"20:45:00"	0,163	0,153	0,144	
"2008-07-02"	"20:55:00"	0,197	0,201	0,173	
"2008-07-02"	"21:05:00"	0,257	0,258	0,234	
"2008-07-02"	"21:15:00"	0,286	0,292	0,272	
"2008-07-02"	"21:25:00"	0,358	0,351	0,356	
"2008-07-02"	"21:35:00"	0,381	0,372	0,388	
"2008-07-02"	"21:45:00"	0,645	0,473	0,451	
"2008-07-02"	"21:55:00"	0,483	0,393	0,366	
"2008-07-02"	"22:05:00"	0,517	0,322	0,309	
"2008-07-02"	"22:15:00"	0,637	0,5	0,544	
"2008-07-02"	"22:25:00"	0,516	0,479	0,415	
"2008-07-02"	"22:35:00"	0,526	0,498	0,488	
"2008-07-02"	"22:45:00"	0,441	0,368	0,361	
"2008-07-02"	"22:55:00"	0,344	0,292	0,33	
"2008-07-02"	"23:05:00"	0,184	0,175	0,176	
"2008-07-02"	"23:15:00"	0,49	0,435	0,41	
"2008-07-02"	"23:25:00"	0,451	0,356	0,389	
"2008-07-02"	"23:35:00"	0,523	0,469	0,481	
"2008-07-02"	"23:45:00"	0,556	0,573	0,484	
"2008-07-02"	"23:55:00"	0,476	0,446	0,46	
"2008-07-03"	"00:05:00"	0,429	0,336	0,37	
"2008-07-03"	"00:15:00"	0,356	0,332	0,343	
"2008-07-03"	"00:25:00"	0,453	0,388	0,39	
"2008-07-03"	"00:35:00"	0,341	0,29	0,304	
"2008-07-03"	"00:45:00"	0,282	0,302	0,264	
"2008-07-03"	"00:55:00"	0,548	0,521	0,509	
"2008-07-03"	"01:05:00"	0,583	0,544	0,55	
"2008-07-03"	"01:15:00"	0,528	0,534	0,485	
"2008-07-03"	"01:25:00"	0,371	0,434	0,359	
"2008-07-03"	"01:35:00"	0,357	0,272	0,32	
